approach,label,wins,ties,n,win_rate,ci_low,ci_high,p_binomial
sim_o4_mini,o4-mini draft,37,46,324,0.18518518518518517,0.14439343297310706,0.23184125491371846,1.1423715213791584e-31
sim_opus,Claude Opus 4.7,249,0,324,0.7685185185185185,0.7187046903041414,0.8133478183632005,5.94644976887303e-23
sim_gpt55,GPT-5.5,256,0,324,0.7901234567901234,0.7416768320076309,0.8331766596986886,8.541925225747182e-27
