name,n,g,ci_low,ci_high,p,mean_x,mean_y
claude-opus-4-7: mimic vs llm (self-similarity),85,1.8001624846362472,1.4789482738600779,2.1742451066747104,9.999000099990002e-05,0.6713192603167366,0.518277486632852
claude-opus-4-7: mimic vs human-edited (self-similarity),85,1.175345454381286,0.8651707633687626,1.5579227384928769,9.999000099990002e-05,0.6713192603167366,0.5698610607315512
claude-opus-4-7: mimic self vs mimic other (targeting check),85,2.422996705461472,2.01296276660845,2.9445481916443805,9.999000099990002e-05,0.6713192603167366,0.5123724265615731
