approach,kind,n_pids,n_human,n_ai,auc_mean,auc_std,auc_ci_low,auc_ci_high
o4-mini,llm,81,81,324,0.998828125,0.002117137049675664,0.996875,1.0
Human post-edit,edited,81,81,324,0.9674659385813149,0.012981236551790211,0.9567237510813149,0.9762550010813149
Claude Opus 4.7,claude-opus-4-7,81,81,324,0.9422868458044983,0.020596840152195997,0.9250993458044983,0.9579152249134948
GPT-5.5,gpt-5.5,81,81,324,0.9141888786764707,0.016931835079931845,0.9022748161764707,0.9294921875
